course_id,course_code,course_title,course_credits
1,ENGL1025,COLLEGE ENGLISH II,3
2,CMPS2151,WEB DEVELOPMENT,3
3,MATH1151,ALGEBRA,3
4,MATH1201,TRIGONOMETRY,3
5,MATH2201,CALCULUS II,3
6,CMPS1192,NETWORKING FUNDAMENTALS,3
7,MATH2201,OBJECT ORIENTED SYSTEM DEVELOPMENT,3
8,CMPS2232,GUI PROGRAMMING,3
9,CMPS2212,AN INTRODUCTION TO PROGRAMMING USING PYTHON,3
10,CMPS1124,INTRODUCTION TO PSYCHOLOGY,3
11,MATH1151,FUNDAMENTALS OF COMPUTING,3
12,PSYC1014,GENERAL PHYSICS I LAB,3
13,CMPS1134,GENERAL PHYSICS I,3
14,PHYS1015L,INTRODUCTION TO BELIZEAN HISTORY,1
15,PHYS1015,BASIC PC REPAIR,3
16,CMPS2212,PRINCIPLES OF PROGRAMMING II,3
17,CMPS1134,CALCULUS I,3
18,HIST1014,DATABASE MANAGEMENT SYSTEMS I,3
19,CMPS1212,NETWORKING 1,3
20,CMPS1232,PROJECT,3
21,MATH1302,LEVEL 5 ADVANCED SPANISH,3
22,CMPS2171,SYSTEMS ANALYSIS,3
23,CMPS2191,DATA STRUCTURES,3
24,MATH2201,COLLEGE ENGLISH I,3
25,CMPS2992,SYSTEMS PROGRAMMING & COMPUTER ORGANIZATION,3
26,MATH2201,FUNDAMENTALS OF MANAGEMENT,3
27,CMPS1134,PROGRAMMING I,3
28,MATH1151,PRINCIPLES OF PROGRAMMING I,3
29,SPAN3015,INTRODUCTION TO COMPUTER SYSTEMS,3
30,MATH1201,BELIZEAN HISTORY,3
31,CMPS2111,COMPUTER NETWORKING I,3
32,CMPS2131,ADVANCED ALGEBRA,3
33,CMPS2212,DIFFERENTIAL CALCULUS,3
34,ENGL1014,PROGRAMMING FOUNDATIONS,3
35,MATH1151,SOFTWARE IN SOCIETY,3
36,CMPS2131,COMPUTER TECHNOLOGY,3
37,CMPS2242,SYSTEM ANALYSIS,3
38,CMPS1124,INTRODUCTION TO SOCIOLOGY,3
39,MGMT1014,COMPUTER ARCHITECTURE,3
40,CMPS1131,OPERATING SYSTEMS,3
41,CMPS1192,OBJECT ORIENTED SYSTEM DEV.,3
42,CMPS2131,SPANISH 1,3
43,CMPS142,STUDY SKILLS,3
44,CMPS145,TRIGONOMETRY 1,3
45,HIST201,APPLIED MANAGEMENT I,3
46,CMPS247,ALGEBRA 1,3
47,MATH125,WEB APPLICATION DEV. 1,3
48,CMPS156,INTRO TO PSYCHOLOGY,3
49,CMPS245,DEVELOPMENTAL BIOLOGY,3
50,MATH210,INTRODUCTION TO COMPUTER STUDIES,4
51,CMPS146,DEVELOPMENTAL CHEMISTRY,4
52,CMPS248,ENVIRON. CONSERV & DEVELOPMENT I,3
53,CMPS155,COMPUTER BUSINESS APPLICATION,3
54,CMPS157,INTERMEDIATE ALGEBRA,3
55,CMPS260,BUSINESS COMMUNICATION,3
56,SOCL221,PRINCIPLES OF FINANCIAL ACTG II,3
57,MATH124,DEVELOPMENTAL MATHEMATICS,3
58,CMPS246,DEVELOPMENTAL ENGLISH,3
59,MATH124,COMPUTER ORG. & ASSEMBLY LANG. PROG.,3
60,CMPS256,PROGRAMMING LANGUAGES,3
61,MGMT101,APPLIED MANAGEMENT I,3
62,MATH101,ALGEBRA 1,3
63,CMPS244,WEB APPLICATION DEV. 1,3
64,CMPS144,PRINCIPLES OF PROGRAMMING II,3
65,PSYC221,INTRO TO PSYCHOLOGY,3
66,CMPS140,INTRODUCTION TO COMPUTER STUDIES,3
67,NRMP101,ENVIRON. CONSERV & DEVELOPMENT I,3
68,CMPS150,COMPUTER BUSINESS APPLICATION,3
69,MATH121,INTERMEDIATE ALGEBRA,3
70,BCOM210,BUSINESS COMMUNICATION,3
71,ACTG202,PRINCIPLES OF FINANCIAL ACTG II,3
72,CMPS255,OBJECT ORIENTED SYSTEM DEV.,4
73,ENGL111,COLLEGE ENGLISH I,3
74,ENGL112,COLLEGE ENGLISH II,3
75,SPAN111,SPANISH 1,3
76,GSTU101,STUDY SKILLS,1
77,MAT103,TRIGONOMETRY 1,3
78,CMPS213,BASIC PC REPAIR,3
79,MAT090,DEVELOPMENTAL MATHEMATICS,3
80,ENGL090,DEVELOPMENTAL ENGLISH,3
81,CMPS312,COMPUTER ORG. & ASSEMBLY LANG. PROG.,3
82,CMPS316,PROGRAMMING LANGUAGES,3
83,CMPS314,ALGORITHMS,3
84,MATH480,LINEAR PROGRAMMING.,3
85,MATH330,DISCRETE MATHEMATHICS,3
86,MATH441,NUMERICAL ANALYSIS,3
87,EENG2151,LANGUAGE METHODS FOR PRIMARY SCHOOL TEACHERS I,3
88,EMAT1101,COLLEGE MATH FOR PRIMARY SCHOOL TEACHERS I,3
89,ENGL3105,LANGUAGE AND COMMUNICATION,3
90,PHIL1014,ETHICS,3
91,EDUC240,EDUCATIONAL PSYCHOLOGY 1,3
92,CMPS332,P C REPAIR,3
93,ACTG201,PRINCIPLES OF ACCOUNTING I,3
94,SPAN1025,LEVEL 2 LOWER-INTERMEDIATE SPANISH,3
95,CMPS1014,INTRODUCTION TO COMPUTER STUDIES,3
96,CMPS2252,OPERATING SYSTEMS,3
97,SPAN1015,LEVEL 1 BEGINNERS SPANISH,3
98,SOCL1014,INTRODUCTION TO SOCIOLOGY,3
99,SPAN202,LEVEL 4 HIGH-INTERMEDIATE SPANISH,3
100,MATH104,CALCULUS I,3
101,PHYS241,GENERAL PHYSICS I,3
102,CMPS242,GUI PROGRAMMING,3
103,SPAN2015,LEVEL 3 INTERMEDIATE SPANISH,3
104,PHIL210,ETHICS,3
105,MATH203,CALCULUS II,3
106,CMPS319,SYSTEMS ENGINEERING,3
107,ECON101,INTRODUCTION TO ECONOMICS ,3
108,MATH102,COMPLEX NUMBERS & VECTORS,3
109,CMCN209,COMMUNICATION SKILLS,3
110,MATH3251,CALCULUS III,3
111,MATH3151,LINEAR ALGEBRA,3
112,PHYS242,PHYSICS 11,3
113,ECON222,PRINCIPLES OF ECONOMICS (MICRO),3
114,SOCL225,INTRO. TO CULTURAL ANTHROPOLOGY,3
115,MATH250,APPLIED MATHEMATICS,3
116,SPAN201,LEVEL 3 INTERMEDIATE SPANISH,3
117,CMPS1171,INTRODUCTION TO DATABASES,3
118,CMPS1211,HARDWARE FUNDAMENTALS,3
119,BIOL121,GENERAL BIOLOGY I,3
120,NRMP208,PEOPLE AND PARKS,3
121,ANTH221,INTRODUCTION TO ANTHROPOLOGY,3
122,CHEM121,GENERAL CHEMISTRY I,3
123,NRMP105,INTRODUCTION TO MARINE ECOLOGY,4
124,MATH090,REMEDIAL MATH,3
125,SOST290,SOCI/POL ISSUES  IN BELIZEAN DEV.,3
126,CMPS360,MANAGEMENT INFORMATION SYSTEM,3
