grade_id,semester,course_grade,course_points,student_id,course_id
1,2003-1,F,0,1,43
2,2003-1,D+,4.5,1,44
3,2003-1,B,9,1,45
4,2001-1,C,6,4,46
5,2001-2,F,0,4,47
6,2002-2,C,6,4,48
7,2003-1,A-,11.25,4,49
8,2002-1,WP,0,4,50
9,2003-1,C,6,4,48
10,2001-1,C,8,4,51
11,2002-1,C,6,4,49
12,2001-1,B+,10.5,4,52
13,2001-2,C+,7.5,4,53
14,2001-2,C,6,4,54
15,2002-2,B,9,4,47
16,2003-2,B+,10.5,4,55
17,2001-1,B,9,4,56
18,2001-2,F,0,4,48
19,2001-2,D+,4.5,4,57
20,2002-1,C+,7.5,4,58
21,2002-2,C,6,4,57
22,2003-1,C,8,4,50
23,2003-2,B,9,4,60
24,2003-2,C+,10,4,72
25,2014-1,B,9,89,22
26,2014-1,F,0,89,23
27,2015-1,WP,0,89,40
28,2007-1,A-,11.25,89,45
29,2012-2,C+,7.5,89,15
30,2008-1,RE,0,89,73
31,2009-1,B+,10.5,89,74
32,2011-1,RE,0,89,4
33,2011-2,C,6,89,21
34,2012-1,C,6,89,5
35,2012-2,A-,3.75,89,14
36,2013-1,F,0,89,23
37,2004-2,B+,10.5,89,75
38,2005-1,A,4,89,76
39,2008-1,RE,0,89,77
40,2009-1,B,9,89,78
41,2015-1,C,6,89,23
42,2015-2,D,3,89,20
43,2004-2,C,6,89,43
44,2005-1,B+,10.5,89,43
45,2006-2,B,9,89,54
46,2006-2,A-,11.25,89,61
47,2011-1,RE,0,89,15
48,2013-1,F,0,89,22
49,2001-2,D,3,113,53
50,2006-1,B,9,113,78
51,2001-1,B,9,113,44
52,2001-2,D+,4.5,113,74
53,2005-1,B,3,113,76
54,2005-1,D+,4.5,113,62
55,2005-2,B+,10.5,113,62
56,2006-1,F,0,113,48
57,2006-1,A,12,113,77
58,2006-2,B,9,113,63
59,2001-1,D+,1.5,113,76
60,2001-1,C,6,113,73
61,2004-1,D+,4.5,113,43
62,2004-1,C+,7.5,113,49
63,2004-1,C+,7.5,113,45
64,2005-2,C+,7.5,113,64
65,2005-2,C+,7.5,113,54
66,2001-1,F,0,113,75
67,2001-1,F,0,113,51
68,2002-1,D+,4.5,113,45
69,2002-1,C,6,113,75
70,2005-1,B+,10.5,113,43
71,2006-2,C+,7.5,113,56
72,2008-2,C+,7.5,113,65
73,2002-1,D+,6,113,51
74,2002-2,C,6,113,53
75,2002-2,D+,4.5,113,54
76,2002-2,C,6,113,74
77,2005-1,WP,0,113,77
78,2006-2,B,9,113,46
79,2006-2,C,6,113,72
80,2008-1,P,0,551,305
81,2008-1,C+,7.5,551,61
82,2008-1,F,0,551,66
83,2008-1,P,0,551,306
84,2013-1,F,0,639,34
85,2013-1,F,0,639,3
86,2013-1,F,0,639,4
87,2013-1,F,0,639,40
88,2013-1,F,0,639,13
89,2002-1,RE,0,653,67
90,2001-2,D,3,653,68
91,2001-2,B,9,653,69
92,2002-1,RE,0,653,70
93,2002-1,RE,0,653,75
94,2001-2,D,3,653,71
95,2007-1,WP,0,749,43
96,2007-1,F,0,749,66
97,2007-1,WF,0,749,62
98,2001-1,RE,,1217,306
99,2002-1,B+,10.5,1217,69
100,2002-2,B+,10.5,1217,54
101,2002-2,B,9,1217,74
102,2002-1,B,9,1217,73
103,2002-2,C+,7.5,1217,64
104,2003-1,B+,10.5,1217,48
105,2003-1,B,9,1217,58
106,2003-1,B,12,1217,50
107,2003-2,B+,10.5,1217,60
108,2003-2,B,9,1217,55
109,2003-2,B,9,1217,65
110,2002-2,B+,10.5,1217,47
111,2003-1,B+,10.5,1217,49
112,2003-1,C+,7.5,1217,45
113,2002-1,A-,11.25,1217,75
114,2003-1,A-,11.25,1217,46
115,2003-2,B,9,1217,56
116,2003-2,B+,14,1217,72
117,2001-1,RE,,1217,79
118,2002-1,A-,3.75,1217,76
119,2002-1,C+,7.5,1217,44
120,2002-2,C+,7.5,1217,57
121,2001-1,RE,,1217,80
122,2002-1,B,12,1217,51
123,2002-2,B,9,1217,53
124,2002-3,A-,11.25,1217,52
125,2004-2,B,9,1303,55
126,2005-1,A-,11.25,1303,46
127,2005-1,C+,7.5,1303,81
128,2002-1,B+,14,1303,51
129,2002-2,B+,10.5,1303,54
130,2003-2,B,9,1303,53
131,2003-2,B,9,1303,60
132,2004-1,B,9,1303,52
133,2005-1,B,9,1303,82
134,2004-1,C+,7.5,1303,49
135,2002-2,B,9,1303,64
136,2003-1,B,9,1303,48
137,2003-1,B+,10.5,1303,58
138,2004-2,C+,7.5,1303,56
139,2005-1,D,3,1303,83
140,2002-1,B+,10.5,1303,84
141,2003-2,C+,10,1303,72
142,2004-1,B,9,1303,85
143,2004-2,B,9,1303,86
144,2001-1,F,0,1353,76
145,2001-1,D,3,1353,44
146,2001-1,D,3,1353,75
147,2002-2,F,0,1353,53
148,2010-1,B+,10.5,1353,87
149,2010-1,C+,7.5,1353,39
150,2001-1,D,3,1353,66
151,2010-1,B+,10.5,1353,88
152,2001-1,F,0,1353,69
153,2010-1,B+,10.5,1353,89
154,2010-1,B+,10.5,1353,90
155,2001-1,F,0,1353,73
156,2002-2,C,6,1353,75
157,2001-1,NG ,,1353,51
158,2001-1,B,9,1652,73
159,2001-1,C,8,1652,51
160,2001-2,C,6,1652,74
161,2001-2,D,3,1652,57
162,2001-1,D+,1.5,1652,76
163,2001-1,C,6,1652,75
164,2001-2,C,6,1652,53
165,2001-2,D+,4.5,1652,54
166,2001-2,F,0,1652,47
167,2002-1,C+,7.5,1652,45
168,2001-3,D+,4.5,1652,47
169,2005-1,NG,,1652,56
