student_id,gender,ethnicity,city,district,CODE,PROGRAM,DEGREEID,DEGREE,COURSECODE,COURSETITLE,COURSECREDITS,program_start,program_status,programEnd,grad_date,feeder_id
1,F,Creole,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS142,PRINCIPLES OF PROGRAMMING I,3,9/26/2000,Dropped,,,12
4,F,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS145,INTRODUCTION TO COMPUTER SYSTEMS,3,8/20/2001,Graduated,5/27/2004,5/27/2004,12
89,M,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,HIST201,BELIZEAN HISTORY,3,1/17/2005,Terminated,,,13
113,M,Creole,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS247,COMPUTER NETWORKING I,3,8/20/2001,Terminated,,,13
551,M,Mestizo,BELMOPAN,Cayo,AINT,Information Technology,11,Associate Degree,MATH125,ADVANCED ALGEBRA,3,8/20/2008,Transferred,,,13
639,M,Creole,Cayo,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS156,DATA STRUCTURES,3,8/12/2013,Terminated,,,30
653,M,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3,8/1/2001,Terminated,1/15/2002,1/15/2002,13
749,M,East Indian,Santa Elena Town,Cayo,AINT,Information Technology,11,Associate Degree,MATH210,DIFFERENTIAL CALCULUS,4,8/13/2007,Terminated,,,13
1217,F,Mestizo,Cayo,Cayo,AINT,Information Technology,11,Associate Degree,CMPS156,DATA STRUCTURES,3,1/18/2001,Graduated,5/27/2004,5/27/2004,10
1303,M,Garifuna,DANGRIGA TOWN,STANN CREEK,AINT,Information Technology,11,Associate Degree,CMPS146,PROGRAMMING FOUNDATIONS,4,8/19/2002,Graduated,5/19/2006,5/19/2006,13
1353,M,East Indian,CAMALOTE VILLAGE,Cayo,AINT,Information Technology,11,Associate Degree,CMPS245,DATABASE MANAGEMENT SYSTEMS I,3,8/20/2001,Dropped,,,30
1652,M,Creole,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS248,SOFTWARE IN SOCIETY,3,8/20/2001,Terminated,,,51
2030,F,Other,Cayo,Cayo,AINT,Information Technology,11,Associate Degree,CMPS155,COMPUTER TECHNOLOGY,3,1/19/2002,Dropped,,,11
2077,M,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS157,SYSTEM ANALYSIS,3,8/20/2001,Terminated,,,22
2158,M,Garifuna,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,MATH125,ADVANCED ALGEBRA,3,3/25/2011,Graduated,5/16/2016,5/16/2016,25
2515,M,Mestizo,ORANGE WALK,ORANGE WALK,AINT,Information Technology,11,Associate Degree,CMPS260,PROJECT,3,8/13/2007,Transferred,,,10
2694,M,Creole,-,Cayo,AINT,Information Technology,11,Associate Degree,SOCL221,INTRODUCTION TO SOCIOLOGY,3,8/1/2022,Dropped,,,11
2788,M,Creole,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS156,DATA STRUCTURES,3,5/27/2011,Terminated,,,13
2792,M,Creole,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,MATH124,TRIGONOMETRY,3,1/16/2006,Graduated,5/19/2006,5/19/2006,13
3136,M,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS246,COMPUTER ARCHITECTURE,3,8/19/2013,Terminated,,,10
3301,M,Mestizo,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,MATH124,TRIGONOMETRY,3,8/20/2001,Terminated,,,79
3573,M,Mayan,ROARING CREEK VILLAGE,Cayo,AINT,Information Technology,11,Associate Degree,MATH210,DIFFERENTIAL CALCULUS,4,8/19/2002,Dropped,,,30
3593,F,Mestizo,COROZAL TOWN,COROZAL,AINT,Information Technology,11,Associate Degree,CMPS256,OPERATING SYSTEMS,3,8/6/2002,Dropped,,,10
3641,M,Creole,INDEPENDENCE VILLAGE,STANN CREEK,AINT,Information Technology,11,Associate Degree,CMPS255,OBJECT ORIENTED SYSTEM DEV.,4,1/19/2009,Terminated,,,13
3845,F,Mestizo,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS2171,DATABASE MANAGEMENT SYSTEMS I,3,8/6/2002,Graduated,12/11/2004,12/11/2004,33
3864,M,Creole,LADYVILLE VILLAGE,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS2191,NETWORKING 1,3,7/30/2004,Dropped,,,79
3874,M,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS1131,PROGRAMMING I,3,8/17/2009,Transferred,,,13
3880,F,Creole,PUNTA GORDA,TOLEDO,AINT,Information Technology,11,Associate Degree,HIST201,BELIZEAN HISTORY,3,8/6/2002,Dropped,,,10
4258,M,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,PHYS1015,GENERAL PHYSICS I,3,8/14/2006,Graduated,5/24/2011,5/24/2011,10
4369,M,Creole,DANGRIGA TOWN,STANN CREEK,AINT,Information Technology,11,Associate Degree,ENGL111,COLLEGE ENGLISH I,3,5/18/2010,Dropped,,,13
4395,M,Ketchi,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,ENGL112,COLLEGE ENGLISH II,3,8/15/2005,Dropped,,,13
4396,F,Garifuna,PUNTA GORDA,TOLEDO,AINT,Information Technology,11,Associate Degree,MATH1201,TRIGONOMETRY,3,8/18/2008,Transferred,,,13
4407,M,Other,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,MATH1302,CALCULUS I,3,8/16/2002,Graduated,5/30/2005,5/30/2005,79
4446,F,Other,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,MATH2201,CALCULUS II,3,8/16/2004,Graduated,5/19/2006,5/19/2006,13
4484,M,Mestizo,,Cayo,AINT,Information Technology,11,Associate Degree,PHYS1015L,GENERAL PHYSICS I LAB,1,8/18/2003,Graduated,5/30/2005,5/30/2005,13
4508,F,Garifuna,PUNTA GORDA,TOLEDO,AINT,Information Technology,11,Associate Degree,CMPS2191,NETWORKING 1,3,1/13/2003,Dropped,,,79
4518,M,Creole,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,SPAN111,SPANISH 1,3,8/18/2003,Graduated,5/30/2005,5/30/2005,13
4538,M,Oriental,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,GSTU101,STUDY SKILLS,1,1/13/2003,Graduated,5/19/2006,5/19/2006,58
4566,M,Mestizo,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,MAT103,TRIGONOMETRY 1,3,1/13/2003,Graduated,5/19/2006,5/19/2006,7
4584,M,Creole,Belize City,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS213,BASIC PC REPAIR,3,8/18/2008,Terminated,,,13
4602,M,Mayan,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS2191,NETWORKING 1,3,8/18/2003,Graduated,5/19/2008,5/19/2008,30
4639,M,Mestizo,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS1232,PRINCIPLES OF PROGRAMMING II,3,8/18/2003,Graduated,5/19/2008,5/19/2008,30
4672,F,Mestizo,,BELIZE,AINT,Information Technology,11,Associate Degree,CMPS142,PRINCIPLES OF PROGRAMMING I,3,8/18/2003,Graduated,5/19/2006,5/19/2006,27
4699,M,Creole,-,Cayo,AINT,Information Technology,11,Associate Degree,CMPS142,PRINCIPLES OF PROGRAMMING I,3,8/18/2003,Dropped,,,22
4706,M,Creole,Belmopan City,Cayo,AINT,Information Technology,11,Associate Degree,CMPS157,SYSTEM ANALYSIS,3,1/1/2021,In Process,,,13
4716,M,Mestizo,BELMOPAN,Cayo,AINT,Information Technology,11,Associate Degree,MGMT101,APPLIED MANAGEMENT I,3,8/16/2004,Graduated,5/18/2007,5/18/2007,13
